measurement_index,repeat,R_H_raw,R_xx_raw
0,1,2.91162290278e-12,4.78379155103e-12
1,1,3.4993193868e-12,4.77470550074e-12
2,1,5.35312186728e-12,6.30751797739e-12
3,1,6.68386824182e-12,7.60485770035e-12
4,1,6.70847110562e-12,7.82505528789e-12
5,1,7.24036802557e-12,8.31176905005e-12
6,1,8.88802634566e-12,9.49712969256e-12
7,1,9.72071044767e-12,1.08405039541e-11
8,1,1.00220336051e-11,1.06814878092e-11
9,1,1.13370277728e-11,1.32635048151e-11
10,1,1.18622063909e-11,1.40712319952e-11
11,1,1.2003200641e-11,1.42482875533e-11
12,1,1.23190311513e-11,1.50926783105e-11
13,1,1.25121169458e-11,1.53258108158e-11
14,1,1.27471761029e-11,1.58996822816e-11
15,1,1.27772775058e-11,1.86446303042e-11
16,1,1.29453860566e-11,1.89777901617e-11
17,1,1.28191257024e-11,1.98969307624e-11
18,1,1.2686843596e-11,1.99255167304e-11
19,1,1.15816643633e-11,2.14671390328e-11
20,1,1.10456210075e-11,2.26309078391e-11
21,1,1.05026820871e-11,2.2870952186e-11
22,1,1.00858670575e-11,2.31779174852e-11
23,1,9.61662829964e-12,2.31365794511e-11
24,1,4.43144395402e-12,2.50821427922e-11
25,1,-1.07258639974e-12,2.54822706636e-11
26,1,-1.89022738655e-12,2.53676290921e-11
27,1,-1.80848102119e-12,2.55144703975e-11
28,1,-5.33984217309e-12,2.50966087363e-11
29,1,-7.33712834147e-12,2.46507838268e-11
30,1,-9.41112417175e-12,2.35149198501e-11
31,1,-1.08905062149e-11,2.2356548692e-11
32,1,-1.29027253898e-11,1.92764350349e-11
33,1,-1.30571460758e-11,1.88877746993e-11
34,1,-1.24725639852e-11,1.57767410894e-11
35,1,-1.25770019703e-11,1.50429847634e-11
36,1,-1.21878532879e-11,1.47409528139e-11
37,1,-1.01212943226e-11,1.09228175226e-11
38,1,-7.68217267951e-12,8.27458382455e-12
39,1,-6.99985808405e-12,7.82093049902e-12
40,1,-5.040854908e-12,6.06654402427e-12
41,1,-4.99236479501e-12,6.25902397522e-12
42,1,-4.31768040413e-12,5.41428413557e-12
43,1,-4.12380281493e-12,5.5236889019e-12
44,1,-3.88638711774e-12,5.36113597869e-12
45,1,-3.81178878693e-12,5.04615352331e-12
46,1,-2.77410787053e-12,4.22626309696e-12
47,1,-1.09743359819e-12,2.39338241647e-12
48,1,-8.09455237882e-13,2.58772432066e-12
49,1,-7.79199226054e-13,2.02630446594e-12
50,1,-5.15731668907e-13,1.89397614427e-12
0,2,2.67924595132e-12,4.53556590676e-12
1,2,3.40354528444e-12,5.17618947308e-12
2,2,5.2522026582e-12,6.62101075522e-12
3,2,6.63847548456e-12,7.58021612085e-12
4,2,6.61632995541e-12,7.76040720945e-12
5,2,7.32228361101e-12,8.35152341547e-12
6,2,8.91811446102e-12,9.58336119667e-12
7,2,9.70051821116e-12,1.06940857445e-11
8,2,9.9356547756e-12,1.07798161165e-11
9,2,1.14638189866e-11,1.29510928094e-11
10,2,1.19456284731e-11,1.41079522798e-11
11,2,1.20800580765e-11,1.41453075995e-11
12,2,1.21604714129e-11,1.47614753783e-11
13,2,1.23505876428e-11,1.52938009257e-11
14,2,1.27682189714e-11,1.62078517387e-11
15,2,1.30104717325e-11,1.86369361698e-11
16,2,1.28853420302e-11,1.88930577861e-11
17,2,1.2623342308e-11,1.98905241618e-11
18,2,1.27190000657e-11,2.01253912724e-11
19,2,1.17507579947e-11,2.14595356329e-11
20,2,1.09675608366e-11,2.22591908487e-11
21,2,1.04449091042e-11,2.28035667807e-11
22,2,1.02113921848e-11,2.33310974988e-11
23,2,9.64364897229e-12,2.34815501853e-11
24,2,4.35242144567e-12,2.50436759553e-11
25,2,-1.1619154212e-12,2.5416243034e-11
26,2,-1.75832552367e-12,2.54681234591e-11
27,2,-1.95117676552e-12,2.53539146571e-11
28,2,-5.20571084143e-12,2.48906860393e-11
29,2,-7.4260669878e-12,2.40989599558e-11
30,2,-9.55527387579e-12,2.33205881433e-11
31,2,-1.07650363352e-11,2.26060692962e-11
32,2,-1.29174805053e-11,1.91942502671e-11
33,2,-1.28239529614e-11,1.90924282433e-11
34,2,-1.25019901756e-11,1.53942501739e-11
35,2,-1.25826678509e-11,1.52290287495e-11
36,2,-1.20374429546e-11,1.46724010453e-11
37,2,-1.00378039849e-11,1.09664239179e-11
38,2,-7.52035255669e-12,8.31329981564e-12
39,2,-7.06309530087e-12,7.93847064054e-12
40,2,-4.92884517689e-12,6.18028407384e-12
41,2,-4.93009484755e-12,6.31822981603e-12
42,2,-4.43064345277e-12,5.74885747932e-12
43,2,-4.18230280534e-12,5.26653964794e-12
44,2,-4.03192879375e-12,5.18115908304e-12
45,2,-3.89100971871e-12,5.32049892582e-12
46,2,-2.77735571364e-12,4.66514220579e-12
47,2,-1.21533922143e-12,2.67641737694e-12
48,2,-1.01731752411e-12,2.40010336684e-12
49,2,-6.22070996471e-13,2.00811222463e-12
50,2,-5.52367891336e-13,2.06224265636e-12
0,3,2.80251049946e-12,4.58949563973e-12
1,3,3.37856799457e-12,4.92229866615e-12
2,3,5.44970508487e-12,6.51090904495e-12
3,3,6.60914556125e-12,7.57652478612e-12
4,3,6.71986090771e-12,7.64375911947e-12
5,3,7.33251737048e-12,8.40383530161e-12
6,3,8.97875818303e-12,9.30220832129e-12
7,3,9.81598502774e-12,1.02393095076e-11
8,3,1.002590136e-11,1.1154600802e-11
9,3,1.14491814493e-11,1.29530175574e-11
10,3,1.19072329188e-11,1.39771322737e-11
11,3,1.1838634006e-11,1.39920209589e-11
12,3,1.23175348869e-11,1.48400567531e-11
13,3,1.24686826366e-11,1.52569888275e-11
14,3,1.26206044534e-11,1.62849923749e-11
15,3,1.27959524431e-11,1.85430303745e-11
16,3,1.28023085418e-11,1.93005003366e-11
17,3,1.2729244539e-11,1.93098705947e-11
18,3,1.27322534222e-11,1.98107058442e-11
19,3,1.16968371802e-11,2.15290762609e-11
20,3,1.09943487187e-11,2.23273900364e-11
21,3,1.04958277473e-11,2.26201105728e-11
22,3,1.01672464557e-11,2.29643212743e-11
23,3,9.77673331482e-12,2.30673145428e-11
24,3,4.30519793119e-12,2.49414863811e-11
25,3,-1.27023968833e-12,2.5247876436e-11
26,3,-1.61037216823e-12,2.54954465743e-11
27,3,-1.9411377989e-12,2.55930838305e-11
28,3,-5.41668951965e-12,2.50466408212e-11
29,3,-7.30923117074e-12,2.4384555493e-11
30,3,-9.55826274516e-12,2.33524568511e-11
31,3,-1.08242601526e-11,2.24142147024e-11
32,3,-1.29393594908e-11,1.91755756779e-11
33,3,-1.29617600128e-11,1.87509008917e-11
34,3,-1.245477163e-11,1.5370564252e-11
35,3,-1.2539388811e-11,1.52417940471e-11
36,3,-1.20653365606e-11,1.43949437941e-11
37,3,-9.92124306082e-12,1.09110431471e-11
38,3,-7.66635135288e-12,8.22031527578e-12
39,3,-6.97237557485e-12,7.5251874055e-12
40,3,-5.03411772558e-12,6.29094483093e-12
41,3,-4.87110619077e-12,6.28325053335e-12
42,3,-4.33982972858e-12,5.32926808806e-12
43,3,-4.12127863677e-12,5.41474956522e-12
44,3,-3.96524647532e-12,5.49551561683e-12
45,3,-3.92917166937e-12,5.17142392672e-12
46,3,-2.93133921358e-12,4.72940609901e-12
47,3,-1.08688227192e-12,2.58272528604e-12
48,3,-1.07706449976e-12,2.44910899653e-12
49,3,-7.45887256659e-13,2.14855309699e-12
50,3,-6.34207810762e-13,1.71721060007e-12
